category,number,prompt,correct
Test Prep Lsat Section 2 Reading Comprehension,5,The raisin business in America was born by accident. It happened in 1873 in the San Joaquin Valley of California. Many farmers raised grapes in this valley. That year just before the grape harvest there was a heat wave. It was one of the worst heat waves ever known. It was so hot the grapes dried on the vines. When they were picked California had its first raisin crop. People were surprised to find how good raisins were. Everybody wanted more. So the San Joaquin farmers went into the raisin business. Today of course they do not let the grapes dry on the vines. They treat them with much more care. In late August the grapes start to ripen. They are tested often for sweetness. The growers wait until the sugar content is twenty-one percent. Then they know the grapes are ripe enough to be picked. Skilled workers come to the vineyards. They pick the bunches of grapes by hand. The workers fill their flat pans with grapes. They gently empty the pans onto squares of paper. These squares lie between the long rows of vines. They sit in the sun. Here the grapes stay while the sun does its work. It may take two weeks or longer. The grapes are first dried on one side. When they have reached the right color they are turned to dry on the other side. The grapes are dried until only fifteen percent of the moisture is left. Then they have turned into raisins. The raisins are rolled up in the paper on which they have dried. Trucks take them from the fields. They are poured into big boxes called sweatboxes. Each box holds one hundred and sixty pounds of raisins. Here any raisins that are a bit too dry take moisture from those that have a bit too much. After a while they are all just moist enough.The big boxes are trucked next to the packaging plant. They are emptied onto a conveyor belt that shakes the raisins gently. This knocks them from their stems. A blast of air whisks the stems away. The water bath is next. Then the plump brown raisins have a last inspection. They are again checked for moisture and sugar.Then they go on a belt to packing machines. Here they are poured into packages which are automatically weighed and sealed. The raisins are now ready for market.What is the main idea of this passage? A. The creation of raisins in America was an accident. B. The process of raisin development requires multiple steps. C. Raisins on the grocery store shelf undergo a brief fermentation process. D. Raisins are cleaned thoroughly at the packing plant. E. California has been the leader in American raisin development. ,B
Test Prep Mcat Section 1 Verbal Reasoning,1,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farms members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christs second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one ""complex"" marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through ""criticism"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last pointmaintaining social relations and some commerce with heir neighborsthey insisted on the other three and renounced both personal property and sex. Men and women lived in a single large ""Unitary Dwelling"" and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their eyday six thousand Shakers lived in fifty-eight separate""families"" throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderlyShakers in two communities in Maine and New Hampshire continue to keep the faith.The passage implies that the end of the Brook Farm experiment was probably brought on by: A. faltering commitment in the face of hardship. B. a failure to attract members of sufficient intellect or ability. C. the completion of the community's aims. D. the incompetence of philosophers at field labor. ",A
Test Prep Mcat Section 1 Verbal Reasoning,2,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farms members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christs second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one ""complex"" marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through ""criticism"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last pointmaintaining social relations and some commerce with heir neighborsthey insisted on the other three and renounced both personal property and sex. Men and women lived in a single large ""Unitary Dwelling"" and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their eyday six thousand Shakers lived in fifty-eight separate""families"" throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderlyShakers in two communities in Maine and New Hampshire continue to keep the faith.According to the passage the Oneidans believed that: A. men and women were equal in the eyes of God. B. monogamy was wrong in principle. C. rules and standards of behavior were unnecessary. D. they were destined to witness Christ's second coming. ",B
Test Prep Mcat Section 1 Verbal Reasoning,3,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farms members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christs second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one ""complex"" marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through ""criticism"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last pointmaintaining social relations and some commerce with heir neighborsthey insisted on the other three and renounced both personal property and sex. Men and women lived in a single large ""Unitary Dwelling"" and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their eyday six thousand Shakers lived in fifty-eight separate""families"" throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderlyShakers in two communities in Maine and New Hampshire continue to keep the faith.The passage implies that Brook Farms economic system: A. did not include the selling of produce outside the farm. B. was based on the hiring of farm hands. C. efficiently utilized time and labor. D. was primarily intended to maximize collective profit. ",C
Test Prep Mcat Section 1 Verbal Reasoning,4,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farms members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christs second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one ""complex"" marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through ""criticism"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last pointmaintaining social relations and some commerce with heir neighborsthey insisted on the other three and renounced both personal property and sex. Men and women lived in a single large ""Unitary Dwelling"" and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their eyday six thousand Shakers lived in fifty-eight separate""families"" throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderlyShakers in two communities in Maine and New Hampshire continue to keep the faith.According to the passage all of the following were characteristic of the Oneida community EXCEPT: A. complex marriage. B. maintenance of order through social pressure. C. belief in present grace. D. shared living quarters. ",D
Test Prep Mcat Test,1,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.The passage implies that the end of the Brook Farm experiment was probably brought on by: A. faltering commitment in the face of hardship. B. a failure to attract members of sufficient intellect or ability. C. the completion of the community's aims. D. the incompetence of philosophers at field labor. ",A
Test Prep Mcat Test,2,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.According to the passage the Oneidans believed that: A. men and women were equal in the eyes of God. B. monogamy was wrong in principle. C. rules and standards of behavior were unnecessary. D. they were destined to witness Christ's second coming. ",B
Test Prep Mcat Test,3,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.The passage implies that Brook Farm's economic system: A. did not include the selling of produce outside the farm. B. was based on the hiring of farm hands. C. efficiently utilized time and labor. D. was primarily intended to maximize collective profit. ",C
Test Prep Mcat Test,4,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.According to the passage all of the following were characteristic of the Oneida community EXCEPT: A. complex marriage. B. maintenance of order through social pressure. C. belief in present grace. D. shared living quarters. ",D
Test Prep Mcat Test,5,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.The Shakers resembled the Oneidans in their attitude toward: A. sexual practices. B. equality of men and women. C. personal property. D. contact with the outside world. ",C
Test Prep Mcat Test,6,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.It can be inferred from the passage that the cohesion of a secular workers' cooperative based on the principles of collective ownership and the sharing of profits would probably be weakened by:I. diminished contact with the outside world.II. increasing agnosticism.III. considerable economic losses. A. I only B. II only C. III only D. I and II only ",C
Test Prep Mcat Test,7,"In the early nineteenth century a large number of communal experiments both secular and religious sprang up in the northeastern United States. Perhaps the most famous secular commune was Brook Farm founded by transcendentalists George Ripley and William H. Channing to promote the pursuit of leisure and culture through the proper application of time and labor. Its members (among the more notable were Nathaniel Hawthorne and Margaret Fuller) pursued field labor by day art and philosophy by night. For a time the system worked so well that two afternoons a week were set aside for leisure and Brook Farm began outcompeting local farmers at the produce market. But by nature the Farm's members were thinkers not workers; despite their success they remained mainly interested in the theoretical and philosophical implications of the experiment. Thus when a devastating fire brought the community considerable financial burdens in its fifth year the members felt little compunction about closing shop and returning to their comfortable Boston homes.One of the most notable religious utopias was the Oneida community. Its founder John Humphrey Noyes believed that Christ's second coming had already occurred and that everyone alive was favored by Divine grace which Noyes saw as an imperative to live a better life. Perhaps surprisingly the Oneidans embraced industry and commerce achieving success in fruit packing trap making and silk thread winding. They owned everything communally and this principle extended to each other. The Oneidans saw monogamy as a selfish act and asserted that the men and women of the community were united in one `complex` marriage; sex between any two consenting members was perfectly acceptable. The Oneidans maintained order solely through `criticism` `"" anyone acting out of line was made to stand before the other members and hear his or her faults recounted. Oneida remained viable for some thirty years until the leadership devolved on Noyes' son an agnostic. The old religious fervor died out and the dream degenerated into a joint stock company.Doubtless the most successful communalists were the Shakers so called for the early propensity to tremble ecstatically during religious worship. Their guiding light Mother Ann espoused four key principles: Virgin Purity Christian Communism Confession and Separation from the World. Though the Shakers were less adamant on the last point `"" maintaining social relations and some commerce with their neighbors `"" they insisted on the other three and renounced both personal property and sex. Men and women lived in a single large `Unitary Dwelling` and were considered complete equals but they occupied separate wings and could speak together only if a third person were present. Despite their religious strictness Shakers were known as simple sincere intelligent people healthy and long- lived producers of lovely books and hymns and of furniture still prized for its quality and durability. In their heyday six thousand Shakers lived in fifty-eight separate `families` throughout the Northeast. Later their celibacy combined with their strict discipline led to a decline in numbers but even today a small number of elderly Shakers in two communities in Maine and New Hampshire continue to keep the faith.If the passage were to continue the next topic the author would discuss would probably be: A. a comparison between nineteenth and twentieth century communal living experiments. B. a theory explaining why communal living might become popular again. C. an analysis of why early communes attracted intellectuals and artists. D. an investigation into why the three communes discussed were successful to varying degrees. ",D
